task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_loss,backbone_cpt,k1,k2,freeze_model_weights,use_truncated_backward
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1512,6,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1512-256-6x256_mem2_bs128_regular_bptt-1_from_cpt_1-6_eval/run_4,False,,False,,,2.3543198108673096,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,1,linear,1764,7,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1764-256-7x256_mem2_bs128_regular_bptt-1_from_cpt_1-7_eval/run_4,False,,False,,,2.2883412837982178,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,2,linear,3060,3,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_3060-1024-3x1024_mem2_bs128_regular_bptt-4_from_cpt_4-3_eval/run_1,False,,False,,,1.6835370063781738,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,2,2,linear,9180,9,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_9180-1024-9x1024_mem2_bs128_regular_bptt-4_from_cpt_4-9_eval/run_1,False,,False,,,1.5526090860366821,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,8,2,linear,2040,2,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_2040-1024-2x1024_mem2_bs128_regular_bptt-4_from_cpt_4-2_eval/run_1,False,,False,,,1.7740111351013184,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,4,2,linear,7140,7,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_7140-1024-7x1024_mem2_bs128_regular_bptt-4_from_cpt_4-7_eval/run_1,False,,False,,,1.5482655763626099,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,4,2,linear,6120,6,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_6120-1024-6x1024_mem2_bs128_regular_bptt-4_from_cpt_4-6_eval/run_1,False,,False,,,1.5452988147735596,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,4,2,linear,5100,5,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_5100-1024-5x1024_mem2_bs128_regular_bptt-4_from_cpt_4-5_eval/run_1,False,,False,,,1.5318456888198853,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,4,2,linear,4080,4,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_4080-1024-4x1024_mem2_bs128_regular_bptt-4_from_cpt_4-4_eval/run_1,False,,False,,,1.52615225315094,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,2,2,linear,8160,8,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_8160-1024-8x1024_mem2_bs128_regular_bptt-4_from_cpt_4-8_eval/run_1,False,,False,,,1.5499807596206665,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,2,2,linear,10200,10,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_10200-1024-10x1024_mem2_bs128_regular_bptt-4_from_cpt_4-10_eval/run_1,False,,False,,,1.5551072359085083,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,2,linear,1020,1,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1020-1024-1x1024_mem2_bs128_regular_bptt-4_from_cpt_4-1_eval/run_1,False,,False,,,1.7770053148269653,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1512,6,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1512-256-6x256_mem2_bs128_regular_bptt-2_from_cpt_2-6_eval/run_4,False,,False,,,2.2912399768829346,,-1,2,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1512,6,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1512-256-6x256_mem2_bs128_regular_bptt-3_from_cpt_3-6_eval/run_4,False,,False,,,2.378054141998291,,-1,3,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,16,1,linear,1512,6,256,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_1512-256-6x256_mem2_bs128_regular_bptt-4_from_cpt_4-6_eval/run_4,False,,False,,,2.475234270095825,,-1,4,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,1,1,linear,16320,16,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_16320-1024-16x1024_mem2_bs128_regular_bptt-1_from_cpt_1-16_eval/run_1,False,,False,,,1.9289932250976562,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,1,1,linear,16320,16,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_16320-1024-16x1024_mem2_bs128_regular_bptt-2_from_cpt_2-16_eval/run_1,False,,False,,,1.5589278936386108,,-1,2,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,1e-05,1,1,linear,16320,16,1024,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_16320-1024-16x1024_mem2_bs128_regular_bptt-3_from_cpt_3-16_eval/run_1,False,,False,,,1.525994896888733,,-1,3,False,False
